ensgene	SRR13593674	SRR13593675	SRR13593676	SRR13593677	Sum Controls	Sum Treatment	Mean Controls	Mean Treatment	STD Controls	STD Treatment	RPM_controls	RPM_cpt-cef	L2F	p-value	adjusted-p-value
ENSG00000058335	1.982761807	2.02642201	2.022272585	2.033229816	4.009183817	4.055502401	2.0045919085	2.0277512005	0.03087242560928137	0.007747932343127385	28.726813095120256	29.089952477681255	0.018122988046689416	0.19249494677012188	1.0
ENSG00000100523	5.35488226	5.186740681	5.296041708	5.087400553	10.541622941	10.383442260999999	5.2708114705	5.1917211304999995	0.11889405071031378	0.14753157553509325	75.53338678592668	74.48000569615176	-0.02026129304223656	0.19252512302537547	1.0
ENSG00000187486	1.638453045	1.622957502	1.636351133	1.648791815	3.261410547	3.285142948	1.6307052735	1.642571474	0.010957003533467817	0.008796890604785446	23.36882904017841	23.56419570017897	0.0120109940106515	0.1925859933111123	1.0
ENSG00000133302	4.734457711	4.723082317	4.686434782	4.911967375	9.457540028	9.598402156999999	4.728770014	4.799201078499999	0.008043618236068674	0.1594756258888854	67.76565932745667	68.8489452108213	0.02288018816316301	0.19281083231624063	1.0
ENSG00000221821	1.663393915	1.609131072	1.671459946	1.665340492	3.2725249869999997	3.336800438	1.6362624934999999	1.668400219	0.03836962425176087	0.00432710742055916	23.44846680564655	23.93473275838556	0.02961210363203105	0.19302218416930125	1.0
ENSG00000162878	4.871073757	4.64975622	4.67581881	4.705221273	9.520829977	9.381040083	4.7604149885	4.6905200415	0.15649513120820402	0.02079068097088675	68.21914777266424	67.28981596420785	-0.019788556784310046	0.19305233303549635	1.0
ENSG00000135605	2.650406077	2.716403604	2.67837506	2.831344856	5.366809680999999	5.509719916	2.6834048404999997	2.754859958	0.04666729888324222	0.10816598006832269	38.45454478027216	39.52099510094063	0.03946515876559482	0.1935673314411654	1.0
ENSG00000033178	7.640085732	7.69332584	7.642240594	7.748130383	15.333411572	15.390370977	7.666705786	7.6951854885	0.037646441397904004	0.07487538786031261	109.86776073265737	110.39450013009987	0.006900190365790455	0.193615153283729	1.0
ENSG00000127946	5.868540365	6.233970093	5.749425903	6.082058278	12.102510458000001	11.831484181	6.051255229000001	5.9157420905	0.25839783871595534	0.23520660800468676	86.71753947387148	84.86675102962847	-0.031124374662068435	0.19371921547251944	1.0
ENSG00000260261	4.133649963	3.969055832	4.096211616	4.11815125	8.102705795	8.214362866	4.0513528975	4.107181433	0.11638562617360684	0.015513663978151399	58.05793038242047	58.92128811154157	0.021295825817539207	0.19386518896541968	1.0
ENSG00000155729	4.678540525	4.701545478	4.775555675	4.671253603	9.380086002999999	9.446809278	4.690043001499999	4.723404639	0.016266958267177844	0.07375270240300712	67.21068170577587	67.76157570390706	0.011776886121733984	0.19400592868729286	1.0
ENSG00000204634	6.085596601	6.151910697	6.331047979	6.058309722	12.237507298	12.389357701	6.118753649	6.1946788505	0.04689114696985582	0.19285507101369959	87.68482587632278	88.86835492002567	0.019342580535324384	0.19407320259079675	1.0
ENSG00000213689	3.984807343	4.104163172	3.995054138	4.011809562	8.088970515	8.0068637	4.0444852575	4.00343185	0.08439731606004187	0.011847873932055721	57.959513637422134	57.43290509970804	-0.013167950000550445	0.19434664487668576	1.0
ENSG00000086589	6.735067539	6.874834746	6.78976738	6.916208137	13.609902285	13.705975516999999	6.8049511425	6.852987758499999	0.09883033985720405	0.08940711669306052	97.5183820522852	98.31240054289707	0.0116992109321151	0.1946232715535542	1.0
ENSG00000159674	1.243077208	1.228225644	1.245311987	1.248761355	2.471302852	2.494073342	1.235651426	1.247036671	0.010501641615626152	0.002439071503607924	17.707508154107078	17.889885844166134	0.014782974911447932	0.1946348487849152	1.0
ENSG00000102393	5.468038489	5.512590704	5.354867057	5.525026076	10.980629192999999	10.879893133	5.490314596499999	5.4399465665	0.031503173343381305	0.1203205962149504	78.67897729123557	78.04102745030544	-0.011745432970450328	0.1947998939757853	1.0
ENSG00000138175	6.07267299	5.977223776	5.92883796	6.040833748	12.049896766	11.969671708	6.024948383	5.984835854	0.06749278647832614	0.0791929811591308	86.34054910243493	85.85796449616399	-0.008086297917839703	0.19508090139268508	1.0
ENSG00000119421	5.34612936	5.344557975	5.459248907	5.315113786	10.690687335	10.774362693	5.3453436675	5.3871813465	0.001111136989354888	0.10191892146624333	76.60147076038001	77.28406193012924	0.01279882958494967	0.1950899341508808	1.0
ENSG00000152359	4.570586307	4.663099447	4.510743424	4.628676479	9.233685754	9.139419903	4.616842877	4.5697099515	0.06541666864286004	0.08339126291654604	66.16168700209849	65.55668431765385	-0.013253132451976481	0.19577297887974224	1.0
ENSG00000135482	4.020913668	4.072767099	4.009296419	4.251444508	8.093680767	8.260740927	4.0468403835	4.1303704635	0.03666591268788847	0.17122455578326337	57.99326378084564	59.25395604194751	0.031026144140865883	0.1957883085233933	1.0
ENSG00000119138	2.541110053	2.470229008	2.60293623	2.511200285	5.011339061	5.114136515	2.5056695305	2.5570682575	0.05012046757708893	0.06486710878805611	35.90750814447439	36.68349158147236	0.030845424536311908	0.19608194057003722	1.0
ENSG00000138207	2.283601687	2.312237341	2.279069526	2.288369148	4.595839028	4.567438674	2.297919514	2.283719337	0.020248465127111613	0.0065758257786718444	32.930345626159436	32.76205037842449	-0.0073920047146331345	0.19612106800119047	1.0
ENSG00000108352	5.012932815	5.0150968	4.738407507	5.083082982	10.028029615000001	9.821490488999999	5.014014807500001	4.910745244499999	0.0015301684678860742	0.24372236568119424	71.85336108584711	70.44914867133582	-0.028473370550344376	0.19624245137655152	1.0
ENSG00000113407	8.83736953	9.199806357	9.444849938	8.884372292	18.037175887	18.32922223	9.0185879435	9.164611115	0.25628153812343546	0.39631754419007376	129.24091389189076	131.47475969736428	0.02472300256238785	0.19655866201547123	1.0
ENSG00000060749	7.788151573	7.693598737	8.005780665	7.650521377	15.48175031	15.656302042	7.740875155	7.828151021	0.06685895151601957	0.2512062516243047	110.93064519887292	112.30201275819783	0.017725812023069828	0.19668468435750996	1.0
ENSG00000141391	2.559004944	2.589136898	2.571689205	2.648873517	5.148141841999999	5.220562722	2.5740709209999997	2.610281361	0.021306509003801283	0.0545775504164182	36.887734569617535	37.44688240161994	0.02170442391458932	0.1966872695341274	1.0
ENSG00000086189	6.472826165	6.421902933	6.484840232	6.443984292	12.894729098	12.928824524	6.447364549	6.464412262	0.03600816266713559	0.028889512225750816	92.39398581321136	92.73792832737617	0.005360553124788413	0.1970437897860943	1.0
ENSG00000273398	1.568570282	1.445375698	1.42526103	1.427147904	3.01394598	2.8524089339999996	1.50697299	1.4262044669999998	0.0871117257518557	0.0013342214006445735	21.595683011370653	20.460212356553708	-0.07792182680335288	0.1973404843999937	1.0
ENSG00000108187	3.950320528	4.085150862	4.065555671	4.060403046	8.03547139	8.125958717	4.017735695	4.0629793585	0.09533944348104689	0.0036434560784113497	57.57617891524981	58.28716877466095	0.01770627968480807	0.1974795183525271	1.0
ENSG00000230124	5.827950187	5.834809453	5.798949982	5.943531768	11.66275964	11.74248175	5.83137982	5.871240875	0.0048502335025624645	0.10223476131666212	83.56661396540602	84.22834024048687	0.011379056887609998	0.19757090841833366	1.0
ENSG00000181135	3.120274655	3.159846877	3.289602508	3.123181023	6.280121532	6.4127835310000005	3.140060766	3.2063917655000003	0.027981786522819713	0.11767776057863552	44.99865451402531	45.9986333926096	0.03170913504794306	0.19761277483278394	1.0
ENSG00000167325	8.618677873	8.679616577	8.089905262	8.862081846	17.29829445	16.951987108	8.649147225	8.475993554	0.04309017083512089	0.546011298819864	123.94664206275928	121.59590862340245	-0.027624499978506398	0.19771746012280692	1.0
ENSG00000261609	4.110322418	4.039014041	4.009725574	4.074840353	8.149336459	8.084565927	4.0746682295	4.0422829635	0.05042263693210702	0.046043101786363366	58.392050849421594	57.9902599887799	-0.009961376104106143	0.19779032282686904	1.0
ENSG00000198162	8.108323599	7.522837855	8.198393726	7.771613977	15.631161454	15.970007703	7.815580727	7.9850038515	0.4140009398704514	0.301778854590993	112.00121372452057	114.55221060500946	0.03249093331011339	0.19802088145175034	1.0
ENSG00000103035	7.586488227	7.570354839	7.525081523	7.730286304	15.156843066	15.255367827	7.578421533	7.6276839135	0.01140802805831373	0.14510169217700036	108.60260285966615	109.42612806925018	0.010898576357395141	0.1981786365747814	1.0
ENSG00000164885	5.369031737	5.439382745	5.464945932	5.398722417	10.808414482	10.863668349000001	5.404207241	5.4318341745000005	0.04974567482010862	0.046827096530508976	77.44501545737059	77.92464773976594	0.008907341357747197	0.1983238530326652	1.0
ENSG00000196843	2.144816062	2.09129585	2.088900186	2.093868643	4.236111912	4.1827688290000005	2.118055956	2.0913844145000002	0.037844504835741644	0.003513229636733718	30.35281012310754	30.0028293487716	-0.01673153300037292	0.19846507174283232	1.0
ENSG00000166484	3.985763465	4.018699454	4.368691774	3.93150249	8.004462919	8.300194264	4.0022314595	4.150097132	0.023289261166985733	0.3091395073784914	57.35399540073862	59.53695321096236	0.053891402966100926	0.19864847150518755	1.0
